,미디어_TV_장르_1~3순위,,,미디어_OTT,미디어_동영상 콘텐츠_장르,,,,,,,,,,,,,
panel_id,1순위,2순위,3순위,사용_OTT_수,드라마/영화,음악/댄스,푸드/먹방/레시피,뉴스/시사/정치,게임,스포츠경기,예능,연예계소식,여행,뷰티,동물,운동,학습/강의/업무,일상및토크
H0064808,1,4,3,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0
H0065054,2,9,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
H0065083,1,9,8,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
H0065169,2,7,3,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0
H0065351,1,9,3,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0
H0065613,3,2,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0
H0065738,8,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
H0065742,2,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
H0065985,2,8,9,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0
H0066288,2,8,3,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
H0066533,4,8,3,4,1,0,0,1,1,1,0,0,1,0,0,0,0,0
H0066932,4,9,8,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
H0067356,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
H0067969,1,3,2,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0
H0067971,2,10,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
H0068995,2,4,3,3,1,0,1,1,1,1,1,1,1,1,1,1,0,0
H0069369,2,4,3,5,1,1,1,1,1,1,1,0,1,0,1,0,1,1
H0069491,2,6,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
